#Experimental	
# Energy (MeV)	Reflection Coef
1.00E-04	0.1900
2.00E-04	0.2240
3.00E-04	0.2350
4.00E-04	0.2370
5.00E-04	0.2160
6.00E-04	0.2340
8.00E-04	0.1980
8.00E-04	0.2260
1.00E-03	0.1920
1.00E-03	0.1950
1.00E-03	0.2346
1.00E-03	0.1340
1.00E-03	0.2170
1.00E-03	0.2120
1.20E-03	0.0400
1.20E-03	0.1890
1.40E-03	0.1820
1.50E-03	0.2060
1.60E-03	0.1790
1.80E-03	0.1750
2.00E-03	0.0320
2.00E-03	0.1700
2.00E-03	0.1400
2.00E-03	0.1460
2.00E-03	0.2000
2.00E-03	0.2030
2.50E-03	0.1680
2.50E-03	0.1330
2.50E-03	0.2020
3.00E-03	0.0180
3.00E-03	0.1610
3.00E-03	0.1570
3.00E-03	0.2132
3.00E-03	0.1320
3.00E-03	0.1540
3.00E-03	0.1910
3.00E-03	0.1970
3.50E-03	0.1520
3.50E-03	0.1950
4.00E-03	0.0097
4.00E-03	0.1510
4.00E-03	0.1310
4.00E-03	0.1850
4.00E-03	0.1910
4.50E-03	0.1810
4.50E-03	0.1880
5.00E-03	0.0072
5.00E-03	0.1530
5.00E-03	0.1480
5.00E-03	0.2000
5.00E-03	0.1860
5.00E-03	0.1350
5.00E-03	0.1580
5.00E-03	0.1680
5.00E-03	0.1850
5.00E-03	0.1860
6.00E-03	0.1370
6.00E-03	0.1800
7.50E-03	0.1530
8.00E-03	0.1420
9.30E-03	0.0120
9.30E-03	0.1750
1.00E-02	0.0090
1.00E-02	0.0080
1.00E-02	0.1500
1.00E-02	0.1875
1.00E-02	0.1770
1.00E-02	0.1400
1.00E-02	0.1490
1.00E-02	0.1770
1.10E-02	0.0050
1.10E-02	0.1330
1.25E-02	0.1400
1.25E-02	0.1510
1.34E-02	0.0050
1.50E-02	0.0350
1.50E-02	0.1500
1.50E-02	0.1710
1.50E-02	0.1370
1.50E-02	0.1490
1.50E-02	0.1710
1.73E-02	0.0190
1.73E-02	0.1590
1.75E-02	0.1390
1.75E-02	0.1510
2.00E-02	0.0140
2.00E-02	0.0120
2.00E-02	0.0096
2.00E-02	0.1480
2.00E-02	0.1640
2.00E-02	0.1390
2.00E-02	0.1400
2.00E-02	0.1640
2.50E-02	0.1480
2.52E-02	0.0500
2.52E-02	0.1510
2.80E-02	0.1300
3.00E-02	0.0770
3.00E-02	0.0560
3.00E-02	0.0380
3.00E-02	0.1440
3.00E-02	0.1500
3.00E-02	0.1490
3.00E-02	0.1550
3.00E-02	0.1350
3.00E-02	0.1550
3.00E-02	0.1560
3.20E-02	0.1200
4.00E-02	0.0780
4.00E-02	0.0520
4.00E-02	0.1040
4.00E-02	0.1510
4.00E-02	0.1510
4.15E-02	0.0970
4.15E-02	0.1550
4.50E-02	0.1500
4.65E-02	0.0880
5.00E-02	0.0820
5.00E-02	0.1470
5.00E-02	0.1470
5.80E-02	0.0760
6.00E-02	0.0710
6.00E-02	0.0650
6.00E-02	0.1460
6.00E-02	0.1460
6.21E-02	0.1100
6.21E-02	0.1370
7.00E-02	0.1100
7.12E-02	0.1100
7.50E-02	0.1100
8.18E-02	0.1100
8.18E-02	0.1350
8.40E-02	0.0750
9.00E-02	0.0510
9.70E-02	0.0940
1.00E-01	0.0920
1.02E-01	0.0890
1.02E-01	0.1330
1.09E-01	0.0860
1.21E-01	0.0800
1.30E-01	0.0750
1.46E-01	0.0720
1.72E-01	0.1300
1.75E-01	0.1200
1.96E-01	0.1200
2.20E-01	0.1200
2.38E-01	0.1140
2.50E-01	0.1070
2.50E-01	0.1300
3.00E-01	0.1260
3.00E-01	0.1230
3.00E-01	0.1220
3.14E-01	0.1210
4.00E-01	0.1170
4.00E-01	0.1140
5.00E-01	0.1150
5.00E-01	0.1160
5.00E-01	0.1090
5.21E-01	0.1070
6.00E-01	0.1000
6.00E-01	0.0980
6.00E-01	0.0960
6.00E-01	0.0940
7.00E-01	0.0870
7.00E-01	0.0830
7.00E-01	0.0800
8.00E-01	0.0800
8.00E-01	0.1400
8.00E-01	0.1400
9.00E-01	0.1400
9.00E-01	0.1900
1.00E+00	0.1600
1.00E+00	0.1400
1.00E+00	0.1400
1.00E+00	0.1700
1.00E+00	0.1700
1.00E+00	0.1700
1.00E+00	0.2200
1.03E+00	0.2100
1.10E+00	0.2000
1.20E+00	0.1900
1.20E+00	0.1750
1.20E+00	0.1710
1.40E+00	0.1640
1.60E+00	0.1590
1.75E+00	0.1510
1.80E+00	0.1450
2.00E+00	0.1370
2.00E+00	0.1350
2.00E+00	0.1330
3.00E+00	0.1860
3.24E+00	0.1710
4.00E+00	0.1550
4.09E+00	0.1710
6.00E+00	0.1640
6.08E+00	0.1560
8.00E+00	0.1510
8.40E+00	0.1470
1.01E+01	0.1460
1.02E+01	0.0920
1.19E+01	0.1110
1.20E+01	0.1220
1.41E+01	0.1360
1.50E+01	0.1400
1.98E+01	0.1400
2.22E+01	0.1580
