Angle(degrees)	Transmission(Frac/Deg2)	Uncertainty(Frac/Deg2)
0.2890391350	0.4391891882E-01	1.0980E-03
0.7882882953	0.4094594717E-01	1.0236E-03
1.208708882	0.3486486524E-01	8.7162E-04
1.944444418	0.2418918908E-01	6.0473E-04
2.128378630	0.2086486667E-01	5.2162E-04
2.575074911	0.1594594494E-01	3.9865E-04
2.942943096	0.1081081107E-01	2.7027E-04
3.100600481	0.1027027145E-01	2.5676E-04
3.573573828	0.6621621083E-02	1.6554E-04
4.125375748	0.4054054152E-02	1.0135E-04
4.677176952	0.2297297120E-02	5.7432E-05
5.018768787	0.1891891472E-02	4.7297E-05
6.332582474	0.6756756920E-03	1.6892E-05
7.195946693	0.3276697826E-03	8.1917E-06
8.108108521	0.1696409163E-03	4.2410E-06
9.425675392	0.1047452315E-03	2.6186E-06
10.43918896	0.6290101010E-04	1.5725E-06
11.35135269	0.4144285413E-04	1.0361E-06
12.46621609	0.2860065433E-04	7.1502E-07
13.58108139	0.1884376070E-04	4.7109E-07
15.20270348	0.1131595855E-04	2.8290E-07
17.12837982	0.6795401987E-05	1.6989E-07
18.85135269	0.4912192708E-05	1.2280E-07
21.79054260	0.2688626864E-05	6.7216E-08
26.35135269	0.1222498895E-05	3.0562E-08
29.79730034	0.7341280934E-06	1.8353E-08
