# Angle (degrees)	#/square degree	Error
0.3	4.39189E-02	1.0980E-03
0.8	4.09459E-02	1.0236E-03
1.2	3.48649E-02	8.7162E-04
1.9	2.41892E-02	6.0473E-04
2.1	2.08649E-02	5.2162E-04
2.6	1.59459E-02	3.9865E-04
2.9	1.08108E-02	2.7027E-04
3.1	1.02703E-02	2.5676E-04
3.6	6.62162E-03	1.6554E-04
4.1	4.05405E-03	1.0135E-04
4.7	2.29730E-03	5.7432E-05
5.0	1.89189E-03	4.7297E-05
6.3	6.75676E-04	1.6892E-05
7.2	3.27670E-04	8.1917E-06
8.1	1.69641E-04	4.2410E-06
9.4	1.04745E-04	2.6186E-06
10.4	6.29010E-05	1.5725E-06
11.4	4.14429E-05	1.0361E-06
12.5	2.86007E-05	7.1502E-07
13.6	1.88438E-05	4.7109E-07
15.2	1.13160E-05	2.8290E-07
17.1	6.79540E-06	1.6989E-07
18.9	4.91219E-06	1.2280E-07
21.8	2.68863E-06	6.7216E-08
26.4	1.22250E-06	3.0562E-08
29.8	7.34128E-07	1.8353E-08
